site,word_count
beyoung,"[('pele', 52), ('maquiagem', 29), ('negra', 27), ('produtos', 13), ('beyoung', 12), ('dicas', 11), ('make', 9), ('a', 7), ('o', 7), ('base', 7), ('todas', 6), ('tonalidade', 6), ('2023', 6), ('skincare', 5), ('ideal', 5), ('sobre', 5), ('escolha', 5), ('beleza', 5), ('pode', 5), ('pois', 5), ('cútis', 5), ('fazer', 4), ('ajudar', 4), ('tom', 4), ('primer', 4), ('para', 4), ('4', 4), ('corretivo', 4), ('além', 4), ('loja', 3), ('saúde', 3), ('têm', 3), ('cada', 3), ('todos', 3), ('tipos', 3), ('blush', 3), ('então', 3), ('hidratada', 3), ('1', 3), ('poros', 3), ('pó', 3), ('negras', 3), ('cor', 3), ('bem', 3), ('bronze', 3), ('sombras', 3), ('afinal', 3), ('setembro', 3), ('agosto', 3), ('6', 3), ('com', 3), ('batom', 3), ('escolher', 3), ('sempre', 3), ('saudável', 3), ('usar', 3), ('3', 3), ('rosto', 3), ('natural', 3), ('capaz', 3), ('redes', 3), ('sociais', 3)]"
brasil de fato,"[('negra', 12), ('pele', 11), ('negras', 10), ('marcas', 9), ('cosméticos', 8), ('produtos', 8), ('a', 8), ('peles', 7), ('indústria', 6), ('mulheres', 5), ('beleza', 5), ('ainda', 4), ('maquiagem', 4), ('cor', 4), ('porque', 4), ('fundo', 4), ('brasil', 4), ('grandes', 4), ('base', 4), ('gente', 4), ('produto', 4), ('mulher', 4), ('variedades', 3), ('fato', 3), ('todas', 3), ('população', 3), ('protetor', 3), ('brasileira', 3), ('marca', 3), ('rio', 3), ('janeiro', 3), ('política', 3), ('lívia', 3), ('escura', 3), ('tons', 3), ('blogueira', 3), ('problema', 3), ('rosangela', 3)]"
capricho,"[('pele', 65), ('base', 54), ('r', 49), ('a', 46), ('publicidade', 35), ('veja', 35), ('continua', 30), ('assine', 30), ('partir', 30), ('após', 30), ('2semana', 30), ('cor', 28), ('beauty', 26), ('abril', 25), ('rosa', 24), ('você', 23), ('negra', 23), ('tiktok', 22), ('fenty', 22), ('maquiagem', 21), ('pó', 21), ('instagram', 21), ('beleza', 21), ('♬', 21), ('produto', 19), ('cobertura', 18), ('capricho', 15), ('facebook', 15), ('youtube', 15), ('pinterest', 15), ('moda', 15), ('saúde', 15), ('tons', 15), ('twitter', 15), ('minha', 15), ('o', 15), ('original', 15), ('makeup', 15), ('marca', 14), ('the', 14), ('todos', 13), ('retinta', 13), ('bem', 13), ('e', 13), ('acabamento', 13), ('matte', 13), ('sound', 12), ('contorno', 12), ('natural', 12), ('alta', 11), ('horóscopo', 10), ('entretenimento', 10), ('direitos', 10), ('skin', 10), ('quatro', 10), ('rodas', 10), ('claudia', 10), ('boa', 10), ('conosco', 10), ('sociedade', 10), ('comportamento', 10), ('política', 10), ('post', 10), ('by', 10), ('rosto', 10), ('testar', 10), ('rh', 10), ('superinteressante', 10), ('sa', 10), ('bases', 10), ('karen', 10), ('ch', 9), ('rihanna', 9), ('this', 9), ('i', 9), ('pra', 9), ('leve', 9), ('cores', 9), ('deixa', 9), ('iluminador', 8), ('ainda', 8), ('tom', 8), ('youthforia', 8), ('2024', 8), ('conteúdo', 8), ('on', 8), ('and', 8), ('usar', 8), ('efeito', 8), ('líquida', 8), ('novo', 7), ('produtos', 7), ('grupo', 7), ('como', 7), ('textura', 7), ('milk', 7), ('bachini', 7), ('tendências', 7), ('fentybeauty', 7), ('stick', 7), ('promete', 6), ('vida', 6), ('tutoriais', 6), ('highlighters', 6), ('love', 6), ('ela', 6), ('foto', 6), ('pessoas', 6), ('golloria', 6), ('viralizou', 6), ('1', 6), ('média', 6), ('tanto', 6), ('karenbachini', 6), ('por', 6), ('sucesso', 6), ('fórmula', 6), ('it', 6), ('gente', 6), ('escolher', 6), ('sabe', 6), ('são', 6), ('quem', 6), ('termos', 6), ('vídeo', 6), ('indicam', 6), ('indicações', 6), ('reproduçãocapricho', 6), ('durabilidade', 6), ('contour', 6), ('milkmakeup', 6), ('buscar', 5), ('testes', 5), ('previsões', 5), ('signos', 5), ('música', 5), ('cinema', 5), ('educação', 5), ('meio', 5), ('ambiente', 5), ('identidade', 5), ('edições', 5), ('digitais', 5), ('manifesto', 5), ('sexo', 5), ('criativos', 5), ('alerta', 5), ('famosas', 5), ('momento', 5), ('lidas1comportamento', 5), ('letras', 5), ('românticas', 5), ('sequência', 5), ('imagens', 5), ('oficiais3sociedade', 5), ('aliado', 5), ('urgente4comportamento', 5), ('café', 5), ('parque', 5), ('lugar’5comportamento', 5), ('namorados', 5), ('ideias', 5), ('bebê', 5), ('bravo', 5), ('estudante', 5), ('instituto', 5), ('turismo', 5), ('dados', 5), ('atendimento', 5), ('anuncie', 5), ('fale', 5), ('trabalhe', 5), ('cnpj', 5), ('preta', 5), ('influenciadoras', 5), ('ter', 5), ('tem', 5), ('4', 5), ('menu', 5), ('buscarbuscar', 5), ('assinar', 5), ('mística', 5), ('tarot', 5), ('combinação', 5), ('kpop', 5), ('leituras', 5), ('celebridades', 5), ('tv', 5), ('violência', 5), ('mental', 5), ('escola', 5), ('sos', 5), ('relacionamentos', 5), ('tecnologia', 5), ('novos', 5), ('semanas', 5), ('autoestima', 5), ('primeiros', 5), ('cuidados', 5), ('redes', 5), ('view', 5), ('shared', 5), ('vários', 5), ('that', 5), ('to', 5), ('mais', 5), ('35', 5), ('músicas', 5), ('legenda', 5), ('instagram2entretenimento', 5), ('culpa', 5), ('ganha', 5), ('data', 5), ('estreia', 5), ('prefeito', 5), ('meioambiente', 5), ('lanchonete', 5), ('‘terceiro', 5), ('dia', 5), ('13', 5), ('presentes', 5), ('surpresas', 5), ('leia', 5), ('siga', 5), ('forma', 5), ('casa', 5), ('casacor', 5), ('elástica', 5), ('especiallistas', 5), ('guia', 5), ('rio', 5), ('paulo', 5), ('viagem', 5), ('privacidade', 5), ('desativar', 5), ('adblock', 5), ('assinante', 5), ('somos', 5), ('condições', 5), ('comunicações', 5), ('44597052000162', 5), ('reservados', 5), ('2', 5), ('funciona', 5), ('incrível', 4), ('duarte', 4), ('brilho', 4), ('demi’glow', 4), ('shade', 4), ('in', 4), ('of', 4), ('vez', 4), ('algum', 4), ('negras', 4), ('mundo', 4), ('influenciadora', 4), ('bruna', 4), ('tavares', 4), ('livre', 4), ('parabenos”', 4), ('bastante', 4), ('sofia', 4), ('sociais', 4), ('email', 4), ('sephora', 4), ('além', 4), ('cartela', 4), ('pigmento', 4), ('preto', 4), ('tinta', 4), ('foundation', 4), ('queridinhas', 4), ('bt', 4), ('3', 4), ('ótima', 4), ('sua', 4), ('vegana', 4), ('pode', 4), ('facial', 4), ('adaptar', 4), ('lança', 3), ('melhor', 3), ('diferentes', 3), ('pincel', 3), ('som', 3), ('have', 3), ('is', 3), ('“a', 3), ('glamzilla', 3), ('vai', 3), ('night', 3), ('aí', 3), ('as', 3), ('podem', 3), ('falta', 3), ('totalmente', 3), ('testando', 3), ('apenas', 3), ('darkskinmakeup', 3), ('cada', 3), ('relacionadasbeleza6', 3), ('santos', 3), ('em', 3), ('afinal', 3), ('22', 3), ('luziê', 3), ('sérum', 3), ('fluida', 3), ('deixando', 3), ('fernanda', 3), ('disse', 3), ('sim', 3), ('camadas', 3), ('aspecto', 3), ('achei', 3), ('mirella', 3), ('qualha', 3), ('abaixo', 3), ('então', 3), ('olhos', 3), ('resenha', 3), ('funcionar', 3), ('glow', 3), ('demiglow', 3), ('apesar', 3), ('lançar', 3), ('amantes', 3), ('rolou', 3), ('light', 3), ('brasil', 3), ('linhas', 3), ('outro', 3), ('polêmica', 3), ('lançamento', 3), ('composição', 3), ('lado', 3), ('inclusivo', 3), ('servir', 3), ('opções', 3), ('tássio', 3), ('6', 3), ('prometem', 3), ('vem', 3), ('2022', 3), ('fica', 3), ('juliana', 3), ('sequinha', 3), ('fixação', 3), ('é', 3), ('fps', 3), ('quanto', 3), ('encontrar', 3), ('tão', 3), ('inclusive', 3), ('aqui', 3)]"
cenarium,"[('negra', 16), ('base', 16), ('pele', 13), ('tons', 9), ('mercado', 9), ('porque', 8), ('cookies', 8), ('preta', 7), ('cenarium', 6), ('produtos', 6), ('tom', 6), ('cor', 6), ('diz', 6), ('pessoas', 6), ('falta', 6), ('mulheres', 6), ('bases', 6), ('cores', 6), ('diversidade', 5), ('marca', 5), ('site', 5), ('produto', 5), ('gente', 5), ('nova', 5), ('ainda', 4), ('maquiagem', 4), ('vai', 4), ('ter', 4), ('realmente', 4), ('muitas', 4), ('compartilhar', 4), ('janelaclique', 4), ('cookie', 4), ('o', 4), ('marcas', 4), ('cinco', 4), ('agência', 3), ('influenciadora', 3), ('mas', 3), ('saber', 3), ('ela', 3), ('ali', 3), ('negras', 3), ('rosa', 3), ('difíceis', 3), ('revista', 3), ('2024', 3), ('juliana', 3), ('cartela', 3), ('mulher', 3), ('peles', 3), ('tinta', 3), ('usar', 3), ('dentro', 3), ('brasil', 3), ('sendo', 3), ('e', 3), ('silva', 3), ('indústria', 3), ('estritamente', 3), ('salvar', 3)]"
claudia,"[('r', 16), ('veja', 11), ('assine', 9), ('pele', 8), ('claudia', 8), ('a', 8), ('você', 7), ('partir', 7), ('negra', 6), ('publicidade', 6), ('bem', 6), ('beleza', 6), ('2semana', 6), ('continua', 5), ('e', 5), ('após', 5), ('opções', 5), ('produtos', 4), ('maquiagem', 4), ('facebook', 4), ('linkedin', 4), ('pinterest', 4), ('sexo', 4), ('saúde', 4), ('instagram', 4), ('twitter', 4), ('acabamento', 4), ('cores', 4), ('matte', 4), ('digital', 4), ('9', 3), ('buscar', 3), ('amor', 3), ('horóscopo', 3), ('moda', 3), ('abril', 3), ('marca', 3), ('10', 3), ('quatro', 3), ('rodas', 3), ('cozinha', 3), ('casa', 3), ('de', 3), ('é', 3), ('minha', 3), ('dia', 3), ('mercado', 3), ('marcas', 3), ('fórmula', 3), ('efeito', 3), ('pigmentação', 3), ('batom', 3), ('rh', 3), ('superinteressante', 3), ('sa', 3), ('matéria', 3), ('impressa', 3)]"
contra mao,"[('base', 14), ('pele', 13), ('negra', 10), ('cor', 7), ('rosa', 6), ('cores', 6), ('tássio', 6), ('boca', 6), ('marca', 5), ('todos', 5), ('a', 5), ('vídeos', 5), ('produto', 4), ('joyce', 4), ('dia', 4), ('home', 3), ('20', 3), ('internet', 3), ('blogueiras', 3), ('bem', 3), ('sobre', 3), ('apenas', 3), ('negras', 3), ('beauty', 3), ('fala', 3), ('fazer', 3), ('60', 3), ('contramão', 3), ('notícias', 3), ('escura', 3), ('bases', 3), ('linha', 3), ('vídeo', 3), ('anos', 3)]"
dia de beaute,"[('pele', 64), ('aqui', 51), ('maquiagem', 41), ('batom', 35), ('make', 33), ('the', 33), ('beauté', 32), ('to', 30), ('beleza', 30), ('sobre', 28), ('o', 28), ('dia', 26), ('on', 26), ('share', 24), ('in', 24), ('new', 24), ('cookies', 24), ('opens', 24), ('vic', 22), ('base', 21), ('negra', 20), ('produtos', 19), ('site', 19), ('windowclick', 18), ('…', 18), ('acesso', 18), ('preferences', 18), ('marrom', 18), ('leia', 18), ('mais', 18), ('minutos', 18), ('funcional', 18), ('armazenamento', 18), ('técnico', 18), ('or', 18), ('marketing', 18), ('manage', 18), ('preferências', 18), ('delineador', 18), ('e', 17), ('ver', 17), ('pó', 16), ('bem', 16), ('pode', 16), ('skincare', 15), ('vermelho', 14), ('protetor', 14), ('criar', 14), ('tudo', 14), ('comprar', 13), ('saiba', 13), ('is', 13), ('aquibase', 13), ('post', 13), ('necessário', 13), ('vida', 12), ('todosperfumerelatosrituaissaúdebanhobeleza', 12), ('todoscorpopele', 12), ('oleosapele', 12), ('beautéver', 12), ('multiusocookies', 12), ('are', 12), ('consentimento', 12), ('technical', 12), ('storage', 12), ('purposes', 12), ('fins', 12), ('usuário', 12), ('title', 12), ('beauty', 12), ('todosviagemalém', 12), ('bastão', 12), ('contato', 12), ('email', 12), ('not', 12), ('solar', 12), ('usado', 12), ('sozinho', 12), ('simples', 12), ('glitter', 12), ('serviço', 12), ('finalidade', 12), ('access', 12), ('that', 12), ('estatísticas', 12), ('cor', 11), ('mulheres', 11), ('sempre', 11), ('maquiadores', 11), ('backstage', 11), ('líquido', 11), ('marcas', 11), ('ddb', 10), ('tom', 10), ('textura', 10), ('lábios', 10), ('skin', 10), ('negras', 10), ('cobertura', 10), ('nunca', 10), ('quase', 10), ('cabelos', 10), ('realce', 10), ('todos', 9), ('super', 9), ('toque', 9), ('perfeita', 9), ('pessoas', 9), ('geralmente', 9), ('at', 9), ('produto', 9), ('brasil', 9), ('bases', 9), ('tons', 9), ('lançamento', 9), ('leveza', 8), ('ainda', 8), ('rotina', 8), ('dá', 8), ('ter', 8), ('fez', 8), ('falar', 8), ('foto', 8), ('livro', 8), ('outras', 8), ('natural', 8), ('a', 8), ('não', 8), ('busca', 8), ('informações', 8), ('vários', 8), ('dior', 8), ('dija', 8), ('pinterest', 7), ('melhor', 7), ('escolha', 7), ('dermatologista', 7), ('moda', 7), ('missão', 7), ('universo', 7), ('hoje', 7), ('usamos', 7), ('exclusiva', 7), ('exclusivamente', 7), ('apenas', 7), ('podem', 7), ('praticidade', 7), ('fim', 7), ('reply', 7), ('sabia', 7), ('é', 7), ('adicionar', 7), ('toa', 7), ('deve', 7), ('rede', 7), ('forever', 7), ('terracotta', 7), ('além', 7), ('preto', 7), ('fazer', 6), ('simplicidade', 6), ('realprodutos', 6), ('compre', 6), ('bemestarver', 6), ('conscientebusinessver', 6), ('todosentrevistanotíciasmakever', 6), ('todosbocaolhospeleinspiraçãoprodutosreviewskincarever', 6), ('todospenteadostutoriaistendênciascuidadosprodutosreviewunhaver', 6), ('todosinspiraçãoprodutostutoriaistv', 6), ('todosrelatostutorialreviewvloglifestylever', 6), ('beautédécorestilogastronomia', 6), ('exploresobreddbtimeviclivrovic', 6), ('inscrevase', 6), ('homever', 6), ('todosinspiraçãoprodutostutoriaisunhaver', 6), ('comentáriosveja', 6), ('published', 6), ('fields', 6), ('name', 6), ('website', 6), ('home', 6), ('click', 6), ('facebook', 6), ('whatsapp', 6), ('proximo', 6), ('100624', 6), ('corrida', 6), ('usálo', 6), ('proteger', 6), ('fato', 6), ('aplicar', 6), ('quantidade', 6), ('adequada', 6), ('contrário', 6), ('líquidas', 6), ('seuum', 6), ('bom', 6), ('brilho', 6), ('sai', 6), ('luminosidade', 6), ('influenciadores', 6), ('notado', 6), ('constante', 6), ('transparece', 6), ('2007', 6), ('maneira', 6), ('desmistificou', 6), ('parecia', 6), ('complicado', 6), ('cuidado', 6), ('enfim', 6), ('sentirse', 6), ('cresceu', 6), ('amadureceu', 6), ('completo', 6), ('vozes', 6), ('diversas', 6), ('destino', 6), ('certo', 6), ('saber', 6), ('bemestar', 6), ('saúde', 6), ('explorar', 6), ('16', 6), ('httpsdiadebeautecom', 6), ('gerenciar', 6), ('always', 6), ('active', 6), ('legítima', 6), ('permitir', 6), ('utilização', 6), ('específico', 6), ('solicitado', 6), ('transmissão', 6), ('comunicação', 6), ('eletrónicas', 6), ('of', 6), ('storing', 6), ('requested', 6), ('subscriber', 6), ('used', 6), ('exclusively', 6), ('statistical', 6), ('estatísticos', 6), ('anônimos', 6), ('intimação', 6), ('conformidade', 6), ('voluntária', 6), ('parte', 6), ('internet', 6), ('terceiros', 6), ('armazenadas', 6), ('recuperadas', 6), ('identificálo', 6), ('publicidade', 6), ('rastrear', 6), ('options', 6), ('vendors', 6), ('read', 6), ('more', 6), ('these', 6), ('aceitar', 6), ('somente', 6), ('guerlain', 6), ('le', 6), ('chocolate', 6), ('getty', 6), ('porque', 6), ('dicas', 6), ('skip', 6), ('content', 6), ('real', 6), ('secaprodutosrotinascabelover', 6), ('newsletter', 6), ('volte', 6), ('conscientebemestarver', 6), ('todosentrevistanotíciasbusinessver', 6), ('todosbocaolhospeleinspiraçãoprodutosreviewmakever', 6), ('secaprodutosrotinasskincarever', 6), ('todospenteadostutoriaistendênciascuidadosprodutosreviewcabelover', 6), ('todosrelatostutorialreviewvlogtv', 6), ('beautédécorestilogastronomialifestyle', 6), ('cobrir', 6), ('instagram', 6), ('cancel', 6), ('replyyour', 6), ('address', 6), ('will', 6), ('be', 6), ('required', 6), ('marked', 6), ('comment', 6), ('δ', 6), ('explore', 6), ('twitter', 6), ('window', 6), ('anterior', 6), ('respondeusar', 6), ('prático', 6), ('suficiente', 6), ('danos', 6), ('solares', 6), ('desafio', 6), ('versões', 6), ('3', 6), ('060624', 6), ('falamos', 6), ('tornase', 6), ('vem', 6), ('acompanhando', 6), ('redes', 6), ('sociais', 6), ('6', 6), ('boca', 6), ('beautéo', 6), ('primeiros', 6), ('blogs', 6), ('lançado', 6), ('assunto', 6), ('descontraída', 6), ('época', 6), ('anosde', 6), ('conteúdo', 6), ('otimizar', 6), ('política', 6), ('estritamente', 6), ('explicitamente', 6), ('assinante', 6), ('utilizador', 6), ('efetuar', 6), ('através', 6), ('comunicações', 6), ('necessary', 6), ('legitimate', 6), ('purpose', 6), ('by', 6), ('user', 6), ('sem', 6), ('provedor', 6), ('serviços', 6), ('registros', 6), ('adicionais', 6), ('usadas', 6), ('perfis', 6), ('enviar', 6), ('sites', 6), ('semelhantes', 6), ('services', 6), ('about', 6), ('salvar', 6), ('titlegerenciar', 6), ('images', 6), ('black', 6), ('fundadas', 6), ('nesse', 5), ('ideal', 5), ('tags', 5), ('vez', 5), ('ficar', 5), ('sentindo', 5), ('mim', 5), ('teint', 5), ('tendência', 5), ('maquiagens', 5), ('“black', 5), ('depois', 5), ('usar', 5), ('desfiles', 5), ('cores', 5), ('lauder', 5), ('gama', 5), ('de', 5), ('2022', 5), ('lollapalooza', 4), ('vai', 4), ('diz', 4), ('oleosa', 4), ('seca', 4), ('para', 4), ('sombra', 4), ('durante', 4), ('reprodução', 4), ('comentariosleave', 4), ('spfw', 4), ('relato', 4), ('primeira', 4), ('cansaço', 4), ('deixava', 4), ('joão', 4), ('passarela', 4), ('ali', 4), ('4', 4), ('relatos', 4), ('muitas', 4), ('backstagedior', 4), ('longo', 4), ('“a', 4), ('novo', 4), ('unhas', 4), ('carta', 4), ('própria', 4), ('ninguém', 4), ('durar', 4), ('equipe', 4), ('final', 4), ('manter', 4), ('040624', 4), ('saudades', 4), ('evento“já', 4), ('último', 4), ('pernas', 4), ('bambas', 4), ('desisti', 4), ('assistir', 4), ('pimenta', 4), ('histórico', 4), ('edifício', 4), ('martinelli', 4), ('curiosidade', 4), ('pude', 4), ('deixar', 4), ('traz', 4), ('soft', 4), ('double', 4), ('alta', 4), ('fica', 4), ('podemos', 4), ('anos', 4), ('agora', 4), ('cabelo', 4), ('dizer', 4), ('ceridono', 4), ('rosto', 4), ('traço', 4), ('skin”', 4), ('25', 4), ('jan', 4), ('2023', 4), ('preparação', 3), ('corretivo', 3), ('olhos', 3), ('então', 3), ('pouco', 3), ('mate', 3), ('primeiro', 3), ('resultado', 3), ('têm', 3), ('coringa', 3), ('tipos', 3), ('wear', 3), ('undercover', 3), ('estée', 3), ('mundo', 3), ('looks', 3), ('ano', 3), ('realçar', 3), ('controlar', 3), ('qualquer', 3), ('precisa', 3), ('aprendemos', 3), ('relação', 3), ('explica', 3), ('leitura', 3), ('modelo', 3), ('água', 3), ('“pessoas', 3), ('sol', 3), ('melanina', 3), ('festival', 3), ('confira', 3), ('grande', 3), ('durabilidade', 3), ('se', 3), ('menos', 3), ('fina', 3), ('por', 3), ('após', 3), ('tempo', 3), ('queridinhas', 3), ('celebridades', 3), ('acabamento', 3), ('opções', 3), ('baims', 3), ('líquida', 3), ('glow', 3), ('pro', 3), ('fenty', 3), ('teintguerlain', 3), ('fácil', 3), ('chanel', 3), ('apesar', 3), ('eu', 3), ('peles', 3), ('nikkimakeup', 3), ('corbis', 3), ('realcevic', 3), ('sabe', 3), ('acompanha', 3), ('desde', 3), ('perfume', 3), ('libre', 3), ('ayodele', 3), ('acho', 3)]"
diversidade,"[('pele', 22), ('maquiagem', 13), ('taina', 12), ('produtos', 9), ('negras', 9), ('para', 7), ('ainda', 7), ('mercado', 7), ('natural', 7), ('peles', 7), ('falta', 6), ('diversidade', 6), ('sobre', 6), ('têm', 6), ('tom', 6), ('tons', 6), ('porque', 5), ('vai', 5), ('maquiadora', 5), ('educando', 5), ('a', 5), ('clientes', 5), ('rosto', 5), ('negra', 4), ('cosméticos', 4), ('profissional', 4), ('bem', 4), ('ter', 4), ('31', 4), ('anos', 4), ('“eu', 4), ('base', 4), ('todos', 3), ('navegação', 3), ('parte', 3), ('pessoas', 3), ('antes', 3), ('saber', 3), ('cor', 3), ('contato', 3), ('maquiadores', 3), ('desde', 3), ('forma', 3), ('vem', 3), ('muitos', 3), ('inclusão', 3), ('beleza', 3), ('confessa', 3), ('subtom', 3), ('pessoa', 3)]"
donna beleza,"[('base', 3)]"
elle,"[('elle', 53), ('assine', 16), ('beleza', 15), ('view', 14), ('impressa', 14), ('edição', 14), ('a', 12), ('marca', 11), ('r', 11), ('negra', 11), ('brasil', 11), ('última', 10), ('revista', 10), ('confira', 10), ('dólares', 10), ('beauty', 9), ('maquiagem', 8), ('produtos', 8), ('rosa', 8), ('de', 8), ('receba', 8), ('linha', 8), ('skincare', 7), ('negras', 7), ('williams', 7), ('decoration', 6), ('ano', 6), ('livro', 6), ('mensal', 6), ('ou', 6), ('rosângela', 6), ('wyn', 6), ('serena', 6), ('beauté', 6), ('newsletter', 6), ('conta', 6), ('formato', 6), ('acabamento', 6), ('digital', 6), ('peles', 6), ('nossa', 5), ('para', 5), ('lançamentos', 5), ('conheça', 5), ('agora', 5), ('já', 5), ('moda', 4), ('lifestyle', 4), ('facebook', 4), ('youtube', 4), ('linkedin', 4), ('tiktok', 4), ('bianual', 4), ('assinatura', 4), ('volumes', 4), ('maior', 4), ('veja', 4), ('apenas', 4), ('100', 4), ('universo', 4), ('compre', 4), ('10', 4), ('21', 4), ('cookies', 4), ('site', 4), ('50', 4), ('pele', 4), ('cultura', 4), ('nossas', 4), ('revistas', 4), ('men', 4), ('contato', 4), ('instagram', 4), ('twitter', 4), ('12x', 4), ('por', 4), ('conteúdo', 4), ('conteúdos', 4), ('exclusivos', 4), ('mercado', 4), ('política', 4), ('privacidade', 4), ('termos', 4), ('assinante', 4), ('outros', 3), ('vezes', 3), ('20', 3), ('19', 3), ('vista', 3), ('dedicada', 3), ('portfólio', 3), ('itens', 3), ('bases', 3), ('estreia', 3), ('lançamento', 3), ('nova', 3), ('cabelos', 3), ('ao', 3), ('continuar', 3), ('tudo', 3)]"
